annee,arr_num,iam_score
2020,1,31.82
2020,2,30.13
2020,3,30.4
2020,4,30.13
2020,5,30.13
2020,6,30.13
2020,7,30.13
2020,8,15.42
2020,9,30.13
2020,10,30.13
2020,11,30.13
2020,12,30.13
2020,13,39.6
2020,14,43.91
2020,15,62.49
2020,16,69.16
2020,17,81.07
2020,18,72.93
2020,19,33.0
2020,20,36.15
2021,1,49.47
2021,2,17.85
2021,3,52.12
2021,4,19.6
2021,5,22.56
2021,6,13.25
2021,7,9.85
2021,8,40.03
2021,9,27.29
2021,10,40.73
2021,11,53.52
2021,12,36.22
2021,13,43.84
2021,14,42.46
2021,15,66.01
2021,16,37.93
2021,17,55.56
2021,18,63.52
2021,19,54.91
2021,20,72.63
2022,1,22.79
2022,2,19.64
2022,3,26.66
2022,4,23.15
2022,5,56.36
2022,6,51.63
2022,7,42.05
2022,8,13.14
2022,9,23.48
2022,10,34.84
2022,11,72.72
2022,12,53.94
2022,13,46.02
2022,14,50.8
2022,15,77.44
2022,16,54.09
2022,17,36.77
2022,18,50.22
2022,19,29.65
2022,20,38.19
2023,1,21.37
2023,2,23.72
2023,3,33.37
2023,4,31.94
2023,5,50.81
2023,6,40.86
2023,7,33.04
2023,8,5.69
2023,9,17.85
2023,10,37.22
2023,11,71.07
2023,12,63.48
2023,13,76.39
2023,14,60.7
2023,15,77.82
2023,16,56.24
2023,17,38.02
2023,18,46.14
2023,19,42.02
2023,20,36.94
2024,1,33.37
2024,2,38.91
2024,3,48.34
2024,4,53.59
2024,5,29.78
2024,6,16.91
2024,7,20.29
2024,8,42.9
2024,9,50.48
2024,10,53.55
2024,11,60.89
2024,12,41.57
2024,13,44.62
2024,14,37.67
2024,15,65.87
2024,16,42.62
2024,17,72.97
2024,18,71.95
2024,19,49.89
2024,20,66.87
2025,1,40.73
2025,2,48.32
2025,3,43.87
2025,4,40.2
2025,5,45.88
2025,6,33.93
2025,7,46.22
2025,8,36.04
2025,9,61.56
2025,10,59.96
2025,11,41.37
2025,12,60.84
2025,13,59.39
2025,14,61.04
2025,15,64.81
2025,16,49.83
2025,17,76.02
2025,18,91.0
2025,19,50.94
2025,20,64.76
