annee,arr_num,ipr_score
2020,1,50.28
2020,2,58.12
2020,3,65.37
2020,4,58.12
2020,5,58.12
2020,6,58.12
2020,7,58.12
2020,8,28.48
2020,9,58.12
2020,10,58.12
2020,11,58.12
2020,12,58.12
2020,13,66.51
2020,14,71.5
2020,15,61.08
2020,16,29.61
2020,17,64.15
2020,18,78.3
2020,19,66.47
2020,20,57.61
2021,1,71.87
2021,2,79.94
2021,3,67.04
2021,4,58.54
2021,5,67.16
2021,6,59.16
2021,7,33.1
2021,8,18.44
2021,9,52.29
2021,10,62.14
2021,11,74.16
2021,12,58.12
2021,13,62.05
2021,14,58.98
2021,15,55.06
2021,16,11.3
2021,17,52.93
2021,18,73.18
2021,19,55.25
2021,20,58.78
2022,1,64.81
2022,2,76.25
2022,3,67.81
2022,4,67.06
2022,5,75.21
2022,6,63.9
2022,7,36.43
2022,8,29.38
2022,9,57.19
2022,10,70.75
2022,11,77.21
2022,12,54.46
2022,13,65.89
2022,14,62.32
2022,15,56.58
2022,16,12.4
2022,17,49.94
2022,18,72.96
2022,19,58.35
2022,20,62.12
2023,1,56.77
2023,2,70.43
2023,3,64.03
2023,4,67.39
2023,5,72.46
2023,6,61.07
2023,7,37.8
2023,8,21.37
2023,9,51.52
2023,10,61.77
2023,11,67.93
2023,12,57.34
2023,13,53.8
2023,14,61.21
2023,15,51.16
2023,16,11.7
2023,17,49.79
2023,18,73.89
2023,19,56.08
2023,20,59.55
2024,1,58.78
2024,2,79.06
2024,3,71.7
2024,4,70.49
2024,5,70.65
2024,6,52.81
2024,7,44.98
2024,8,26.16
2024,9,55.59
2024,10,65.54
2024,11,68.63
2024,12,51.29
2024,13,65.59
2024,14,62.92
2024,15,54.75
2024,16,11.67
2024,17,52.58
2024,18,72.59
2024,19,55.18
2024,20,58.35
2025,1,58.81
2025,2,80.77
2025,3,63.44
2025,4,64.12
2025,5,84.01
2025,6,58.93
2025,7,30.0
2025,8,33.27
2025,9,59.2
2025,10,66.03
2025,11,71.87
2025,12,51.14
2025,13,71.5
2025,14,61.31
2025,15,61.3
2025,16,19.81
2025,17,50.96
2025,18,70.76
2025,19,60.25
2025,20,60.93
