annee,arr_num,iqv_score
2020,1,21.69
2020,2,21.55
2020,3,21.47
2020,4,23.94
2020,5,25.59
2020,6,26.33
2020,7,21.87
2020,8,21.96
2020,9,30.94
2020,10,30.12
2020,11,31.9
2020,12,83.96
2020,13,35.96
2020,14,29.71
2020,15,31.43
2020,16,61.74
2020,17,8.46
2020,18,29.1
2020,19,52.27
2020,20,43.08
2021,1,21.77
2021,2,20.58
2021,3,19.03
2021,4,23.18
2021,5,23.24
2021,6,24.56
2021,7,19.04
2021,8,19.24
2021,9,24.6
2021,10,20.71
2021,11,17.26
2021,12,75.24
2021,13,29.97
2021,14,23.97
2021,15,23.63
2021,16,65.11
2021,17,11.08
2021,18,24.95
2021,19,42.93
2021,20,32.48
2022,1,21.77
2022,2,21.29
2022,3,20.08
2022,4,23.28
2022,5,21.3
2022,6,22.3
2022,7,16.79
2022,8,20.17
2022,9,27.03
2022,10,24.34
2022,11,15.89
2022,12,74.01
2022,13,30.48
2022,14,23.72
2022,15,23.29
2022,16,64.62
2022,17,18.01
2022,18,31.03
2022,19,47.36
2022,20,36.14
2023,1,21.77
2023,2,21.27
2023,3,20.14
2023,4,23.11
2023,5,20.27
2023,6,21.34
2023,7,16.09
2023,8,21.09
2023,9,28.41
2023,10,25.31
2023,11,15.91
2023,12,72.49
2023,13,26.82
2023,14,22.71
2023,15,23.29
2023,16,63.85
2023,17,20.31
2023,18,33.98
2023,19,47.72
2023,20,38.0
2024,1,21.77
2024,2,20.18
2024,3,17.96
2024,4,20.98
2024,5,21.21
2024,6,22.13
2024,7,16.62
2024,8,18.13
2024,9,24.88
2024,10,21.63
2024,11,15.04
2024,12,72.81
2024,13,28.37
2024,14,24.67
2024,15,23.29
2024,16,63.97
2024,17,12.43
2024,18,26.95
2024,19,43.14
2024,20,31.25
2025,1,21.77
2025,2,19.71
2025,3,18.55
2025,4,21.54
2025,5,21.36
2025,6,23.03
2025,7,15.38
2025,8,18.57
2025,9,23.6
2025,10,21.8
2025,11,22.44
2025,12,72.95
2025,13,28.29
2025,14,24.82
2025,15,28.29
2025,16,67.15
2025,17,12.45
2025,18,24.95
2025,19,45.27
2025,20,31.96
