annee,arrondissement,prix_norm,variation_norm,sociaux_inv_norm,iti
2022,1,77.59,6.99,73.2,55.53
2022,2,43.43,13.64,88.85,43.58
2022,3,55.6,13.89,83.48,48.66
2022,4,69.22,55.24,67.19,64.62
2022,5,58.19,17.14,82.7,50.78
2022,6,100.0,32.78,98.57,79.55
2022,7,93.0,40.52,100.0,78.66
2022,8,72.29,100.0,91.83,84.51
2022,9,40.41,34.11,84.06,47.25
2022,10,20.53,35.52,66.76,34.27
2022,11,28.28,20.38,80.55,36.36
2022,12,11.58,5.32,38.75,15.14
2022,13,7.79,14.39,3.14,8.84
2022,14,23.98,24.63,53.43,30.06
2022,15,21.86,17.3,67.29,29.58
2022,16,41.34,39.35,90.6,50.6
2022,17,34.02,20.05,63.75,35.78
2022,18,15.73,17.8,62.48,25.7
2022,19,0.0,14.06,7.13,5.64
2022,20,1.19,0.0,0.0,0.6
2023,1,67.68,31.38,72.58,57.77
2023,2,39.9,37.35,88.97,48.95
2023,3,49.75,34.65,83.26,51.92
2023,4,69.83,84.48,65.94,73.45
2023,5,53.88,46.57,82.69,57.45
2023,6,100.0,100.0,97.93,99.59
2023,7,87.33,66.37,100.0,83.58
2023,8,61.61,22.16,91.28,55.71
2023,9,34.11,15.75,84.21,38.62
2023,10,15.53,0.0,65.65,20.9
2023,11,21.86,0.11,79.93,26.95
2023,12,12.74,35.32,37.73,24.51
2023,13,7.08,15.52,3.99,8.99
2023,14,19.56,8.77,53.32,23.08
2023,15,16.84,1.57,67.19,22.33
2023,16,39.0,43.08,90.5,50.52
2023,17,28.41,12.94,64.33,30.95
2023,18,12.95,10.12,60.78,21.67
2023,19,1.59,23.51,6.66,9.18
2023,20,0.0,1.91,0.0,0.57
2024,1,61.11,19.46,73.59,51.11
2024,2,56.34,100.0,89.04,75.98
2024,3,61.02,80.03,83.81,71.28
2024,4,72.88,53.39,66.56,65.77
2024,5,53.82,37.9,81.36,54.55
2024,6,99.29,47.89,96.77,83.37
2024,7,100.0,87.26,100.0,96.18
2024,8,71.3,75.35,91.73,76.6
2024,9,36.44,40.72,83.75,47.19
2024,10,15.45,21.96,66.3,27.57
2024,11,27.99,53.46,80.3,46.09
2024,12,17.24,42.7,35.57,28.54
2024,13,14.67,56.08,4.93,25.14
2024,14,18.65,20.17,54.61,26.3
2024,15,21.0,42.64,67.23,36.74
2024,16,38.9,32.46,91.02,47.39
2024,17,27.17,23.11,65.27,33.57
2024,18,8.64,0.0,61.16,16.55
2024,19,0.0,5.76,8.4,3.41
2024,20,4.2,35.66,0.0,12.8
2025,1,47.62,24.02,73.59,45.73
2025,2,49.62,50.65,89.04,57.81
2025,3,44.69,11.39,83.81,42.52
2025,4,51.28,0.0,66.56,38.95
2025,5,46.71,46.98,81.36,53.72
2025,6,81.22,34.41,96.77,70.29
2025,7,100.0,100.0,100.0,100.0
2025,8,55.7,23.52,91.73,53.25
2025,9,36.96,71.69,83.75,56.74
2025,10,10.57,22.28,66.3,25.23
2025,11,19.84,17.92,80.3,31.36
2025,12,17.21,53.27,35.57,31.7
2025,13,20.71,87.68,4.93,37.65
2025,14,13.45,24.14,54.61,24.89
2025,15,16.29,29.56,67.23,30.46
2025,16,35.08,51.21,91.02,51.11
2025,17,24.83,49.1,65.27,40.2
2025,18,11.86,65.46,61.16,37.8
2025,19,0.0,34.91,8.4,12.15
2025,20,2.75,30.24,0.0,10.45
