annee,arrondissement,logements_sociaux_pct
2020,1,27.24
2020,2,13.19
2020,3,19.23
2020,4,30.68
2020,5,19.22
2020,6,7.67
2020,7,7.14
2020,8,12.89
2020,9,19.51
2020,10,32.23
2020,11,20.86
2020,12,50.63
2020,13,80.08
2020,14,41.32
2020,15,30.5
2020,16,14.55
2020,17,34.04
2020,18,30.84
2020,19,77.81
2020,20,77.22
2021,1,27.64
2021,2,14.74
2021,3,19.82
2021,4,31.71
2021,5,19.78
2021,6,7.67
2021,7,7.24
2021,8,13.43
2021,9,19.69
2021,10,32.62
2021,11,21.42
2021,12,53.63
2021,13,81.19
2021,14,43.16
2021,15,31.22
2021,16,14.55
2021,17,35.26
2021,18,34.05
2021,19,78.75
2021,20,82.72
2022,1,28.17
2022,2,15.95
2022,3,20.14
2022,4,32.86
2022,5,20.75
2022,6,8.36
2022,7,7.24
2022,8,13.62
2022,9,19.69
2022,10,33.2
2022,11,22.43
2022,12,55.07
2022,13,82.88
2022,14,43.61
2022,15,32.78
2022,16,14.58
2022,17,35.55
2022,18,36.54
2022,19,79.76
2022,20,85.33
2023,1,29.14
2023,2,16.05
2023,3,20.61
2023,4,34.44
2023,5,21.06
2023,6,8.89
2023,7,7.24
2023,8,14.2
2023,9,19.85
2023,10,34.67
2023,11,23.27
2023,12,56.97
2023,13,83.91
2023,14,44.52
2023,15,33.44
2023,16,14.83
2023,17,35.73
2023,18,38.56
2023,19,81.78
2023,20,87.1
2024,1,29.14
2024,2,16.5
2024,3,20.78
2024,4,34.89
2024,5,22.78
2024,6,10.18
2024,7,7.54
2024,8,14.3
2024,9,20.83
2024,10,35.1
2024,11,23.65
2024,12,60.23
2024,13,85.29
2024,14,44.66
2024,15,34.34
2024,16,14.88
2024,17,35.94
2024,18,39.3
2024,19,82.45
2024,20,89.32
2025,1,29.14
2025,2,16.5
2025,3,20.78
2025,4,34.89
2025,5,22.78
2025,6,10.18
2025,7,7.54
2025,8,14.3
2025,9,20.83
2025,10,35.1
2025,11,23.65
2025,12,60.23
2025,13,85.29
2025,14,44.66
2025,15,34.34
2025,16,14.88
2025,17,35.94
2025,18,39.3
2025,19,82.45
2025,20,89.32
