annee,arrondissement,prix_m2
2020,01,12846.875
2020,03,13500.0
2020,08,13265.30612244898
2020,13,10000.0
2020,14,11140.334821428572
2020,15,10962.972972972973
2020,16,12113.123306233063
2020,17,11666.666666666666
2020,18,10588.235294117647
2020,19,8854.545454545454
2020,20,10000.0
2021,01,14666.666666666666
2021,02,12385.333333333334
2021,03,13151.528013582343
2021,04,13339.622641509433
2021,05,13262.931034482759
2021,06,15602.836879432623
2021,07,15030.864485981308
2021,08,12857.14
2021,09,11896.551724137931
2021,10,10649.318181818182
2021,11,11331.5
2021,12,10473.684210526315
2021,13,10119.047619047618
2021,14,11006.09756097561
2021,15,10970.0
2021,16,11880.0
2021,17,11697.916666666666
2021,18,10576.923076923076
2021,19,9629.62962962963
2021,20,9874.007936507936
2022,01,14316.969696969696
2022,02,12187.5
2022,03,12947.368421052632
2022,04,13795.464767616191
2022,05,13108.108108108108
2022,06,15714.285714285714
2022,07,15277.777777777777
2022,08,13987.166666666666
2022,09,12000.0
2022,10,10761.177419354839
2022,11,11243.835616438357
2022,12,10202.702702702703
2022,13,9966.666666666666
2022,14,10975.609756097561
2022,15,10843.75
2022,16,12058.064516129032
2022,17,11601.923076923076
2022,18,10461.538461538461
2022,19,9481.379310344828
2022,20,9555.164141414141
2023,01,13704.102564102564
2023,02,11730.76923076923
2023,03,12430.455537370432
2023,04,13857.142857142857
2023,05,12724.0
2023,06,16000.0
2023,07,15100.0
2023,08,13272.727272727272
2023,09,11320.123595505618
2023,10,10000.0
2023,11,10450.0
2023,12,9802.197802197803
2023,13,9400.0
2023,14,10285.714285714286
2023,15,10092.51724137931
2023,16,11666.666666666666
2023,17,10914.893617021276
2023,18,9816.976744186046
2023,19,9009.83606557377
2023,20,8897.435897435897
2024,01,12715.217391304348
2024,02,12359.550561797752
2024,03,12708.333333333334
2024,04,13591.02564102564
2024,05,12172.0
2024,06,15555.555555555555
2024,07,15608.884072876874
2024,08,13473.212406015038
2024,09,10878.776470588236
2024,10,9316.969696969696
2024,11,10250.0
2024,12,9450.0
2024,13,9259.25925925926
2024,14,9555.005500550054
2024,15,9729.72972972973
2024,16,11062.5
2024,17,10188.636363636364
2024,18,8809.52380952381
2024,19,8166.666666666667
2024,20,8479.519258720931
2025,01,12432.142857142859
2025,02,12613.425196850394
2025,03,12167.340425531915
2025,04,12763.157894736842
2025,05,12349.547511312216
2025,06,15468.57142857143
2025,07,17166.960093896712
2025,08,13162.835249042146
2025,09,11468.448189762796
2025,10,9083.333333333334
2025,11,9920.861702127659
2025,12,9682.79569892473
2025,13,10000.0
2025,14,9343.555900621119
2025,15,9600.0
2025,16,11298.712121212122
2025,17,10372.448979591836
2025,18,9200.0
2025,19,8127.717391304348
2025,20,8375.911764705881
