annee,arrondissement,part_studio_pct,part_T2_pct,part_T3plus_pct
2020,1,38.89,22.22,38.89
2020,3,27.91,25.58,46.51
2020,8,10.26,25.64,64.1
2020,13,26.89,40.13,32.98
2020,14,25.38,39.17,35.45
2020,15,25.63,32.26,42.11
2020,16,22.83,22.14,55.03
2020,17,22.27,35.28,42.44
2020,18,26.93,42.02,31.05
2020,19,34.68,42.77,22.54
2020,20,26.67,35.24,38.1
2021,1,36.45,31.67,31.87
2021,2,39.35,34.91,25.74
2021,3,29.89,35.27,34.84
2021,4,30.53,30.53,38.93
2021,5,26.8,35.52,37.68
2021,6,26.18,25.44,48.38
2021,7,19.64,25.8,54.56
2021,8,22.71,22.48,54.81
2021,9,27.18,27.23,45.59
2021,10,27.6,34.33,38.06
2021,11,29.14,39.62,31.24
2021,12,24.23,37.8,37.97
2021,13,29.57,34.19,36.23
2021,14,26.5,33.55,39.95
2021,15,26.29,33.87,39.84
2021,16,20.69,21.5,57.81
2021,17,23.25,32.7,44.05
2021,18,25.77,43.98,30.26
2021,19,24.64,41.22,34.14
2021,20,26.69,37.72,35.59
2022,1,29.95,33.59,36.46
2022,2,35.34,33.9,30.76
2022,3,31.85,33.57,34.59
2022,4,28.65,31.59,39.76
2022,5,32.12,32.98,34.9
2022,6,27.67,28.16,44.17
2022,7,22.01,23.78,54.21
2022,8,26.93,21.04,52.03
2022,9,28.09,27.63,44.28
2022,10,30.09,35.55,34.35
2022,11,28.18,39.5,32.31
2022,12,23.98,33.13,42.89
2022,13,27.36,38.24,34.39
2022,14,22.37,39.5,38.12
2022,15,24.04,34.59,41.37
2022,16,21.83,21.39,56.78
2022,17,22.98,31.4,45.62
2022,18,23.04,42.71,34.25
2022,19,26.51,37.8,35.68
2022,20,27.53,36.77,35.7
2023,1,27.02,33.42,39.56
2023,2,38.49,34.99,26.51
2023,3,32.16,32.65,35.19
2023,4,29.77,36.79,33.44
2023,5,33.67,29.71,36.62
2023,6,28.77,24.97,46.27
2023,7,21.46,24.64,53.9
2023,8,26.29,21.34,52.37
2023,9,30.06,24.88,45.07
2023,10,29.55,35.08,35.37
2023,11,30.34,37.72,31.94
2023,12,27.25,36.79,35.96
2023,13,29.98,33.85,36.17
2023,14,27.71,37.17,35.13
2023,15,27.01,32.22,40.77
2023,16,22.45,21.81,55.74
2023,17,25.02,33.36,41.62
2023,18,32.18,41.41,26.41
2023,19,30.37,36.68,32.95
2023,20,31.57,36.29,32.13
2024,1,30.9,33.25,35.85
2024,2,41.85,33.48,24.66
2024,3,34.98,35.53,29.49
2024,4,31.42,32.99,35.59
2024,5,34.83,28.44,36.73
2024,6,24.39,24.72,50.89
2024,7,22.12,27.45,50.44
2024,8,23.04,24.52,52.44
2024,9,30.93,27.36,41.71
2024,10,31.04,38.08,30.88
2024,11,28.64,40.03,31.33
2024,12,22.66,40.38,36.97
2024,13,33.29,31.12,35.6
2024,14,27.25,39.79,32.96
2024,15,25.53,34.06,40.4
2024,16,24.49,20.35,55.16
2024,17,27.31,32.84,39.85
2024,18,30.95,41.33,27.72
2024,19,23.25,45.6,31.14
2024,20,27.61,40.12,32.27
2025,1,35.78,26.61,37.61
2025,2,39.04,36.9,24.06
2025,3,34.58,30.83,34.58
2025,4,32.86,29.52,37.62
2025,5,39.79,34.51,25.7
2025,6,22.49,32.93,44.58
2025,7,18.75,20.83,60.42
2025,8,25.0,26.15,48.85
2025,9,31.03,26.49,42.48
2025,10,34.42,35.28,30.3
2025,11,33.2,37.52,29.27
2025,12,22.86,37.87,39.27
2025,13,24.67,41.49,33.84
2025,14,31.34,36.91,31.75
2025,15,31.01,36.64,32.35
2025,16,24.2,22.98,52.82
2025,17,27.45,32.27,40.28
2025,18,27.0,40.34,32.67
2025,19,33.79,34.7,31.51
2025,20,30.05,37.9,32.05
