arr_num,arr_insee,arr_libelle,nom_etablissement
20,75120,20ème Ardt,JEAN PERRIN
8,75108,8ème Ardt,CONDORCET
12,75112,12ème Ardt,GEORGES COURTELINE
5,75105,5ème Ardt,RAYMOND QUENEAU
3,75103,3ème Ardt,MONTGOLFIER
20,75120,20ème Ardt,FLORA TRISTAN
18,75118,18ème Ardt,ROLAND DORGELES
13,75113,13ème Ardt,MOULIN DES PRES
7,75107,7ème Ardt,VICTOR DURUY
20,75120,20ème Ardt,COLETTE BESSON
20,75120,20ème Ardt,HELENE BOUCHER
15,75115,15ème Ardt,CAMILLE SEE
13,75113,13ème Ardt,EVARISTE GALOIS
15,75115,15ème Ardt,GEORGES DUHAMEL
11,75111,11ème Ardt,LUCIE ET RAYMOND AUBRAC
19,75119,19ème Ardt,CHARLES PEGUY
11,75111,11ème Ardt,ALAIN FOURNIER
13,75113,13ème Ardt,AUGUSTE RODIN
14,75114,14ème Ardt,ST EXUPERY
19,75119,19ème Ardt,GEORGES BRASSENS
15,75115,15ème Ardt,BUFFON
13,75113,13ème Ardt,CAMILLE CLAUDEL
13,75113,13ème Ardt,GEORGE SAND
13,75113,13ème Ardt,GABRIEL FAURE
16,75116,16ème Ardt,JANSON DE SAILLY
17,75117,17ème Ardt,STEPHANE MALLARME
8,75108,8ème Ardt,OCTAVE GREARD
15,75115,15ème Ardt,GUILLAUME APOLLINAIRE
19,75119,19ème Ardt,SONIA DELAUNAY
4,75104,4ème Ardt,FRANCOIS COUPERIN
9,75109,9ème Ardt,LAMARTINE
18,75118,18ème Ardt,DANIEL MAYER
11,75111,11ème Ardt,ANNE FRANK
11,75111,11ème Ardt,PILATRE DE ROZIER
17,75117,17ème Ardt,CARNOT
5,75105,5ème Ardt,HENRI IV
6,75106,6ème Ardt,MONTAIGNE
5,75105,5ème Ardt,LAVOISIER
19,75119,19ème Ardt,GEORGES ROUAULT
10,75110,10ème Ardt,FRANCOISE SELIGMAN
19,75119,19ème Ardt,GEORGES MELIES
1,75101,1er Ardt,JEAN-BAPTISTE POQUELIN
6,75106,6ème Ardt,JACQUES PREVERT
13,75113,13ème Ardt,THOMAS MANN
11,75111,11ème Ardt,VOLTAIRE
20,75120,20ème Ardt,FRANCOISE DOLTO
12,75112,12ème Ardt,JEAN FRANCOIS OEBEN
5,75105,5ème Ardt,ROGNONI
12,75112,12ème Ardt,PAUL VERLAINE
10,75110,10ème Ardt,LOUISE MICHEL
19,75119,19ème Ardt,HENRI BERGSON
20,75120,20ème Ardt,PIERRE MENDES FRANCE
19,75119,19ème Ardt,GUILLAUME BUDE
18,75118,18ème Ardt,GERARD PHILIPE
16,75116,16ème Ardt,CLAUDE BERNARD
13,75113,13ème Ardt,GEORGES BRAQUE
12,75112,12ème Ardt,PAUL VALERY
18,75118,18ème Ardt,YVONNE LE TAC
3,75103,3ème Ardt,VICTOR HUGO
18,75118,18ème Ardt,ANTOINE COYSEVOX
20,75120,20ème Ardt,LEON GAMBETTA
16,75116,16ème Ardt,JEAN-BAPTISTE SAY
3,75103,3ème Ardt,PIERRE JEAN DE BERANGER
20,75120,20ème Ardt,ROBERT DOISNEAU
4,75104,4ème Ardt,CHARLEMAGNE
17,75117,17ème Ardt,ROSE BLANCHE
12,75112,12ème Ardt,JULES VERNE
10,75110,10ème Ardt,LA GRANGE AUX BELLES
10,75110,10ème Ardt,VALMY
16,75116,16ème Ardt,MOLIERE
14,75114,14ème Ardt,ALBERTO GIACOMETTI
20,75120,20ème Ardt,MAURICE RAVEL
15,75115,15ème Ardt,CLAUDE DEBUSSY
5,75105,5ème Ardt,PIERRE ALVISET
16,75116,16ème Ardt,JEAN DE LA FONTAINE
13,75113,13ème Ardt,GUSTAVE FLAUBERT
12,75112,12ème Ardt,GERMAINE TILLION
20,75120,20ème Ardt,JEAN-BAPTISTE CLEMENT
19,75119,19ème Ardt,SUZANNE LACORE
18,75118,18ème Ardt,MARIE CURIE
12,75112,12ème Ardt,GUY FLAVIEN
15,75115,15ème Ardt,MADAME DE STAEL
9,75109,9ème Ardt,JACQUES DECOUR
17,75117,17ème Ardt,ANDRE MALRAUX
9,75109,9ème Ardt,JULES FERRY
17,75117,17ème Ardt,BORIS VIAN
19,75119,19ème Ardt,MOZART
19,75119,19ème Ardt,EDMOND MICHELET
18,75118,18ème Ardt,GEORGES CLEMENCEAU
7,75107,7ème Ardt,JULES ROMAINS
18,75118,18ème Ardt,HECTOR BERLIOZ
18,75118,18ème Ardt,MARX DORMOY
15,75115,15ème Ardt,ANDRE CITROEN
14,75114,14ème Ardt,PAUL BERT
20,75120,20ème Ardt,LUCIE FAURE
14,75114,14ème Ardt,FRANCOIS VILLON
11,75111,11ème Ardt,BEAUMARCHAIS
17,75117,17ème Ardt,HONORE DE BALZAC
19,75119,19ème Ardt,EDGAR VARESE
19,75119,19ème Ardt,EDOUARD PAILLERON
13,75113,13ème Ardt,ELSA TRIOLET
19,75119,19ème Ardt,CLAUDE CHAPPE
2,75102,2ème Ardt,CESAR FRANCK
8,75108,8ème Ardt,CHAPTAL
13,75113,13ème Ardt,CLAUDE MONET
18,75118,18ème Ardt,AIME CESAIRE
18,75118,18ème Ardt,MAURICE UTRILLO
15,75115,15ème Ardt,AMEDEO MODIGLIANI
17,75117,17ème Ardt,PIERRE DE RONSARD
14,75114,14ème Ardt,JEAN MOULIN
14,75114,14ème Ardt,ALPHONSE DAUDET
10,75110,10ème Ardt,BERNARD PALISSY
9,75109,9ème Ardt,PAUL GAUGUIN
20,75120,20ème Ardt,HENRI MATISSE
