annee,arr_num,ecart_type_parts
2020,1,9.6244
2020,3,11.4706
2020,8,27.7322
2020,13,6.6271
2020,14,7.1345
2020,15,8.2923
2020,16,18.793
2020,17,10.2254
2020,18,7.7998
2020,19,10.1823
2020,20,5.948
2021,1,2.7038
2021,2,6.9406
2021,3,2.9898
2021,4,4.8497
2021,5,5.7602
2021,6,13.036
2021,7,18.6391
2021,8,18.5997
2021,9,10.6146
2021,10,5.3012
2021,11,5.5447
2021,12,7.8842
2021,13,3.4123
2021,14,6.7276
2021,15,6.7909
2021,16,21.2013
2021,17,10.4145
2021,18,9.4869
2021,19,8.3194
2021,20,5.851
2022,1,3.2626
2022,2,2.342
2022,3,1.3848
2022,4,5.7565
2022,5,1.4233
2022,6,9.388
2022,7,18.1014
2022,8,16.4574
2022,9,9.4829
2022,10,2.8694
2022,11,5.7285
2022,12,9.4566
2022,13,5.5169
2022,14,9.5167
2022,15,8.7331
2022,16,20.3066
2022,17,11.4432
2022,18,9.867
2022,19,6.0007
2022,20,5.0542
2023,1,6.2704
2023,2,6.1601
2023,3,1.6265
2023,4,3.5112
2023,5,3.4673
2023,6,11.3606
2023,7,17.8821
2023,8,16.671
2023,9,10.4862
2023,10,3.2797
2023,11,3.8823
2023,12,5.2846
2023,13,3.1272
2023,14,4.9784
2023,15,6.9472
2023,16,19.4074
2023,17,8.3
2023,18,7.5662
2023,19,3.1724
2023,20,2.5787
2024,1,2.4761
2024,2,8.596
2024,3,3.3398
2024,4,2.1061
2024,5,4.3429
2024,6,15.2054
2024,7,15.0498
2024,8,16.5634
2024,9,7.4708
2024,10,4.1115
2024,11,5.9534
2024,12,9.4022
2024,13,2.2404
2024,14,6.2783
2024,15,7.4618
2024,16,19.0155
2024,17,6.2845
2024,18,7.1111
2024,19,11.3348
2024,20,6.3224
2025,1,5.894
2025,2,8.1019
2025,3,2.1651
2025,4,4.0707
2025,5,7.1183
2025,6,11.0505
2025,7,23.4808
2025,8,13.4501
2025,9,8.2401
2025,10,2.6619
2025,11,4.1265
2025,12,9.0971
2025,13,8.4214
2025,14,3.1043
2025,15,2.941
2025,16,16.887
2025,17,6.4808
2025,18,6.6949
2025,19,1.6433
2025,20,4.0793
