arr_num,arr_insee,arr_libelle,nom_etablissement
11,75111,11ème Ardt,VOLTAIRE (8) ELEM
7,75107,7ème Ardt,CHOMEL (8) POLY
20,75120,20ème Ardt,OLIVIER METRA (24) ELEM A
4,75104,4ème Ardt,FAUCONNIER (4) POLY
16,75116,16ème Ardt,PAUL VALERY (18) POLY
10,75110,10ème Ardt,FAUBOURG ST DENIS (34) ELEM
17,75117,17ème Ardt,BERTHIER (112) ELEM
9,75109,9ème Ardt,CLICHY (10) ELEM
9,75109,9ème Ardt,BUFFAULT (34) POLY
18,75118,18ème Ardt,FOYATIER (1) ELEM
16,75116,16ème Ardt,HAMELIN (21) ELEM
19,75119,19ème Ardt,ALOUETTES (5) ELEM
11,75111,11ème Ardt,TROIS BORNES (39) ELEM
13,75113,13ème Ardt,BAUDRICOURT (53) ELEM A
13,75113,13ème Ardt,KUSS (8) POLY
14,75114,14ème Ardt,HIPPOLYTE MAINDRON (48) ELEM
18,75118,18ème Ardt,ORAN (18) ELEM
16,75116,16ème Ardt,GROS (18) POLY
19,75119,19ème Ardt,VILLETTE (61) ELEM
15,75115,15ème Ardt,LACORDAIRE (7) ELEM
4,75104,4ème Ardt,HOSPITAL. ST GERVAIS (10) POLY
13,75113,13ème Ardt,PRIMO LEVI (21) POLY
15,75115,15ème Ardt,ST LAMBERT (10) ELEM A
12,75112,12ème Ardt,DAUMESNIL (253 T) ELEM
11,75111,11ème Ardt,BELLEVILLE (77) ELEM A
19,75119,19ème Ardt,SIMON BOLIVAR (67) ELEM
4,75104,4ème Ardt,RENARD (16) ELEM
19,75119,19ème Ardt,MATHIS (14) ELEM
19,75119,19ème Ardt,EUGENIE COTTON (16) ELEM A
12,75112,12ème Ardt,GERTY ARCHIMEDE (5) ELEM
18,75118,18ème Ardt,CAVE (11) ELEM
2,75102,2ème Ardt,DUSSOUBS (42) POLY
20,75120,20ème Ardt,PIERRE FONCIN (4) POLY B
13,75113,13ème Ardt,CHOISY (103) ELEM
16,75116,16ème Ardt,BOILEAU (17-23) ELEM
13,75113,13ème Ardt,GRANDS MOULINS (47) POLY
20,75120,20ème Ardt,TOURTILLE (38) ELEM
5,75105,5ème Ardt,PONTOISE (21) ELEM
13,75113,13ème Ardt,44 ENFANTS D'IZIEU (2) POLY
14,75114,14ème Ardt,JEAN ZAY (18) ELEM
10,75110,10ème Ardt,RECOLLETS (19) ELEM
13,75113,13ème Ardt,PROVIDENCE (7) ELEM B
17,75117,17ème Ardt,TRUFFAUT (15) POLY
10,75110,10ème Ardt,MARTEL (9) ELEM
13,75113,13ème Ardt,LOUISE BOURGEOIS(19) POLY
12,75112,12ème Ardt,WATTIGNIES (52) ELEM
16,75116,16ème Ardt,MUSSET (20) ELEM
13,75113,13ème Ardt,JENNER (46) ELEM B
15,75115,15ème Ardt,ST LAMBERT (12) ELEM B
19,75119,19ème Ardt,EUGENIE COTTON (16) ELEM B
18,75118,18ème Ardt,PIERRE BUDIN (5) ELEM
14,75114,14ème Ardt,ALESIA (3) ELEM
2,75102,2ème Ardt,JUSSIENNE (3) ELEM
7,75107,7ème Ardt,EBLE (14) ELEM
15,75115,15ème Ardt,CONVENTION (78) POLY
13,75113,13ème Ardt,JEANNE D ARC (33) ELEM A
9,75109,9ème Ardt,TOUR D'AUVERGNE (45) ELEM
17,75117,17ème Ardt,BERNARD BUFFET (14) POLY
14,75114,14ème Ardt,BOULARD (46) ELEM - AGNÈS VARDA
18,75118,18ème Ardt,MONT CENIS (26) ELEM
20,75120,20ème Ardt,BELLEVILLE (236) ELEM
16,75116,16ème Ardt,ST DIDIER (15B) POLY
18,75118,18ème Ardt,POISSONNIERS (142) POLY
20,75120,20ème Ardt,RIBLETTE (16) ELEM A
18,75118,18ème Ardt,JEAN FRANCOIS LEPINE (6) ELEM
5,75105,5ème Ardt,ST JACQUES (28) ELEM
18,75118,18ème Ardt,GUADELOUPE (2) ELEM
5,75105,5ème Ardt,CARDINAL LEMOINE (24) ELEM
20,75120,20ème Ardt,OLIVIER METRA (32-34) POLY
13,75113,13ème Ardt,PORTE D'IVRY (51) ELEM
4,75104,4ème Ardt,FAUCONNIER (4) POLY - RAPHAËL ESRAIL
18,75118,18ème Ardt,JOSEPH DE MAISTRE (29) ELEM
7,75107,7ème Ardt,RAPP (28) POLY
19,75119,19ème Ardt,COLETTE MAGNY (17) ELEM
18,75118,18ème Ardt,DOUDEAUVILLE (7) ELEM
17,75117,17ème Ardt,M. ROSTROPOVITCH (34) ELE
14,75114,14ème Ardt,MAURICE D'OCAGNE (7) ELEM
18,75118,18ème Ardt,VAUVENARGUES (50) ELEM
20,75120,20ème Ardt,ALQUIER DEBROUSSE (12) POLY
17,75117,17ème Ardt,CHAMPERRET (7) ELEM
20,75120,20ème Ardt,ETIENNE DOLET (31) ELEM
13,75113,13ème Ardt,VANDREZANNE (38) ELEM
