arr_num,arr_insee,arr_libelle,nom_etablissement
3,75103,3ème Ardt,ST MARTIN (211) POLY
20,75120,20ème Ardt,CHAMPAGNE (17) POLY
16,75116,16ème Ardt,BELLES FEUILLES (3) POLY
15,75115,15ème Ardt,EMILE ZOLA (35) MAT
9,75109,9ème Ardt,CHAPTAL (12) MAT
16,75116,16ème Ardt,CHARDON LAGACHE (64) MAT
19,75119,19ème Ardt,DARIUS MILHAUD (53) MAT
5,75105,5ème Ardt,SOMMERARD (10) MAT
20,75120,20ème Ardt,CLOS (18) MAT
6,75106,6ème Ardt,ST BENOIT (12) POLY
14,75114,14ème Ardt,SARRETTE (55) MAT
15,75115,15ème Ardt,THEODORE DECK (2) MAT
12,75112,12ème Ardt,DAUMESNIL (253 B) MAT
13,75113,13ème Ardt,JEANNE D'ARC (96) MAT
11,75111,11ème Ardt,BESLAY (2) MAT
9,75109,9ème Ardt,RODIER (30) MAT
15,75115,15ème Ardt,SEXTIUS MICHEL (22) MAT
20,75120,20ème Ardt,COUR DES NOUES (26) MAT
18,75118,18ème Ardt,GOUTTE D'OR (57) MAT
18,75118,18ème Ardt,POISSONNIERS (142) POLY
5,75105,5ème Ardt,ST JACQUES (242) MAT
11,75111,11ème Ardt,ALPHONSE BAUDIN (19) MAT
16,75116,16ème Ardt,PAUL VALERY (18) POLY
20,75120,20ème Ardt,DAVOUT (51) POLY
19,75119,19ème Ardt,ROMAINVILLE (59B) MAT
12,75112,12ème Ardt,ARNOLD NETTER (42) MAT
11,75111,11ème Ardt,FAIDHERBE (18) MAT
12,75112,12ème Ardt,MONTEMPOIVRE (16) POLY
15,75115,15ème Ardt,PROCESSION (66) MAT
1,75101,1er Ardt,SOURDIERE (27) MAT
13,75113,13ème Ardt,PAUL GERVAIS (2) MAT
20,75120,20ème Ardt,EUPATORIA (15) MAT
14,75114,14ème Ardt,SEVERO (10) MAT
15,75115,15ème Ardt,LACORDAIRE (5) MAT
16,75116,16ème Ardt,MURAT (162) MAT
3,75103,3ème Ardt,BERANGER (3) POLY
17,75117,17ème Ardt,GUSTAVE DORE (3) MAT
13,75113,13ème Ardt,JENNER (46) MAT
11,75111,11ème Ardt,PRESENTATION (4B) MAT
8,75108,8ème Ardt,PAUL BAUDRY (10) POLY
15,75115,15ème Ardt,AMIRAL ROUSSIN (33) MAT
14,75114,14ème Ardt,JEAN DOLENT (11) MAT
15,75115,15ème Ardt,MIOLLIS (33) MAT
15,75115,15ème Ardt,CARDINAL AMETTE (3) MAT
20,75120,20ème Ardt,OLIVIER METRA (31-33) MAT
17,75117,17ème Ardt,M. ROSTROPOVITCH (34) POLY
20,75120,20ème Ardt,LE VAU (10) POLY
19,75119,19ème Ardt,COLETTE MAGNY(21) MAT
20,75120,20ème Ardt,BIDASSOA (21) MAT
17,75117,17ème Ardt,ST ANGE (14) MAT
14,75114,14ème Ardt,SARRETTE (34) MAT
11,75111,11ème Ardt,BULLOURDE (4) MAT
3,75103,3ème Ardt,VAUCANSON (6) POLY
17,75117,17ème Ardt,M. ROSTROPOVITCH (56) MAT
19,75119,19ème Ardt,PREVOYANCE (29) MAT
20,75120,20ème Ardt,VITRUVE (61) MAT
18,75118,18ème Ardt,VAUVENARGUES (4) MAT
12,75112,12ème Ardt,ARMAND ROUSSEAU (13) MAT
13,75113,13ème Ardt,AUGUSTE PERRET (11) MAT
13,75113,13ème Ardt,DISQUE (30) MAT
9,75109,9ème Ardt,ROCHECHOUART (22) MAT
8,75108,8ème Ardt,ROBERT ESTIENNE (8) POLY
10,75110,10ème Ardt,LEON SCHWARTZENBERG (11) MAT
20,75120,20ème Ardt,PYRENEES (99) MAT
14,75114,14ème Ardt,BOULARD (23) MAT
18,75118,18ème Ardt,CARPEAUX (5-7) MAT
18,75118,18ème Ardt,RUISSEAU (6) MAT
12,75112,12ème Ardt,MARSOULAN (16) MAT
17,75117,17ème Ardt,BAYEN (56) MAT
20,75120,20ème Ardt,PELLEPORT (99) MAT
20,75120,20ème Ardt,MARYSE HILSZ (18) MAT
12,75112,12ème Ardt,BRECHE AUX LOUPS (28) MAT
11,75111,11ème Ardt,BOUVINES (6) MAT
17,75117,17ème Ardt,TRUFFAUT (15) POLY
10,75110,10ème Ardt,ECLUSES ST MARTIN (28) MAT
17,75117,17ème Ardt,LECOMTE (6) POLY
15,75115,15ème Ardt,PORTE BRANCION (5) MAT
14,75114,14ème Ardt,MAURICE ROUVIER (2) MAT
20,75120,20ème Ardt,RETRAIT (24) MAT
18,75118,18ème Ardt,AMIRAUX (19) MAT
16,75116,16ème Ardt,VERSAILLES (141) MAT
13,75113,13ème Ardt,CHAT.DES RENTIERS (40) MAT
17,75117,17ème Ardt,REIMS (38-40) POLY
19,75119,19ème Ardt,MACDONALD (118) POLY
9,75109,9ème Ardt,BUFFAULT (34) POLY
7,75107,7ème Ardt,LAS CASES (27) POLY
18,75118,18ème Ardt,FERNAND LABORI (19) MAT
19,75119,19ème Ardt,GEORGES THILL (11) MAT
20,75120,20ème Ardt,JOURDAIN (4) MAT
19,75119,19ème Ardt,JEAN MENANS (2) MAT
14,75114,14ème Ardt,JACQUIER (23) MAT
19,75119,19ème Ardt,ARCHEREAU (63) MAT
13,75113,13ème Ardt,DOMREMY (15) MAT
20,75120,20ème Ardt,PYRENEES (99) POLY
18,75118,18ème Ardt,CHARLES HERMITE (2) MAT
19,75119,19ème Ardt,MANIN (34) MAT
5,75105,5ème Ardt,LYONNAIS (22) MAT
8,75108,8ème Ardt,ROQUEPINE (16) MAT
2,75102,2ème Ardt,DUSSOUBS (42) POLY
4,75104,4ème Ardt,FAUCONNIER (4) POLY - RAPHA?L ESRAIL
7,75107,7ème Ardt,RAPP (28) MAT
4,75104,4ème Ardt,FAUCONNIER (4) POLY
13,75113,13ème Ardt,FRANC NOHAIN (9) POLY
15,75115,15ème Ardt,DOMBASLE (28) POLY
17,75117,17ème Ardt,FLEURS (61) MAT
18,75118,18ème Ardt,PAJOL (11) POLY
9,75109,9ème Ardt,GRANGE BATELIERE (11) MAT
13,75113,13ème Ardt,PRIMO LEVI (21) POLY
12,75112,12ème Ardt,DAUMESNIL (70) MAT
10,75110,10ème Ardt,PIERRE BULLET (4) MAT
13,75113,13ème Ardt,WURTZ (16) MAT
17,75117,17ème Ardt,BROCHANT (28) MAT
19,75119,19ème Ardt,MACDONALD (141) POLY
2,75102,2ème Ardt,BEAUREGARD (5) POLY
15,75115,15ème Ardt,MADEMOISELLE (83) MAT
15,75115,15ème Ardt,ARISTIDE MAILLOL (15) MAT
19,75119,19ème Ardt,EMELIE (8) MAT
10,75110,10ème Ardt,LOUIS BLANC (49) MAT
11,75111,11ème Ardt,SOUZY (4-12) MAT
13,75113,13ème Ardt,PATAY (20) MAT
20,75120,20ème Ardt,FONTARABIE (12) MAT
15,75115,15ème Ardt,GUTENBERG (72) MAT
14,75114,14ème Ardt,ALESIA (190) MAT
15,75115,15ème Ardt,CEPRE (13) MAT
9,75109,9ème Ardt,BRUXELLES (34) MAT
18,75118,18ème Ardt,PAUL ABADIE (1) MAT
18,75118,18ème Ardt,DEPARTEMENT (51) MAT
15,75115,15ème Ardt,VARET (9) MAT
15,75115,15ème Ardt,VIOLET (38) MAT
19,75119,19ème Ardt,ARCHEREAU (26) MAT
18,75118,18ème Ardt,CHAMPIONNET (72) MAT
17,75117,17ème Ardt,SAUSSURE (48) MAT
14,75114,14ème Ardt,ALESIA (3B) MAT
11,75111,11ème Ardt,VOLTAIRE (6) MAT
14,75114,14ème Ardt,ANTOINE CHANTIN (15) MAT
16,75116,16ème Ardt,GUSTAVE ZEDE (5) MAT
18,75118,18ème Ardt,MAURICE GENEVOIX (3) POLY
18,75118,18ème Ardt,CUGNOT (30) POLY
20,75120,20ème Ardt,PIERRE FONCIN (4) POLY B
4,75104,4ème Ardt,MOUSSY (9) POLY
7,75107,7ème Ardt,VANEAU (48) MAT
19,75119,19ème Ardt,RAMPAL (5-7) MAT
11,75111,11ème Ardt,SERVAN (54) MAT
15,75115,15ème Ardt,VOLONTAIRES (17) MAT
17,75117,17ème Ardt,CHRISTINE DE PISAN (24) MAT
20,75120,20ème Ardt,LE VAU (8) MAT
9,75109,9ème Ardt,MILTON (5) POLY
20,75120,20ème Ardt,AMANDIERS (90) MAT
20,75120,20ème Ardt,MENILMONTANT (10) MAT
14,75114,14ème Ardt,SEVERO (12) POLY
17,75117,17ème Ardt,EPINETTES (44) MAT
19,75119,19ème Ardt,BOIS (2) MAT
11,75111,11ème Ardt,TROIS BORNES (39) MAT
17,75117,17ème Ardt,BESSIERES (90) MAT
18,75118,18ème Ardt,GOUTTE D'OR (57) POLY
5,75105,5ème Ardt,MOUFFETARD (29) MAT
11,75111,11ème Ardt,EMILE LEPEU (44) MAT
20,75120,20ème Ardt,REUNION (91) MAT
11,75111,11ème Ardt,POPINCOURT (9) MAT
16,75116,16ème Ardt,LONGCHAMP (130) MAT
11,75111,11ème Ardt,MERLIN (14) MAT
14,75114,14ème Ardt,MAURICE D'OCAGNE (7) MAT
9,75109,9ème Ardt,ROCHECHOUART (68) MAT
16,75116,16ème Ardt,PARC DES PRINCES (27) MAT
15,75115,15ème Ardt,OLIVIER DE SERRES (34) MAT
18,75118,18ème Ardt,ORSEL (56) MAT
13,75113,13ème Ardt,BALANCHINE (8-10) POLY
13,75113,13ème Ardt,PORTE D'IVRY (53) MAT
19,75119,19ème Ardt,TANDOU (22-28) MAT
20,75120,20ème Ardt,MOURAUD (9) MAT
17,75117,17ème Ardt,VILLIERS (22) MAT
20,75120,20ème Ardt,PLANCHAT (52) MAT
20,75120,20ème Ardt,CENDRIERS (20) MAT - JACQUELINE MANICOM
14,75114,14ème Ardt,SIBELLE (13) POLY
17,75117,17ème Ardt,DAUTANCOURT (16) MAT
7,75107,7ème Ardt,EBLE (14) MAT
16,75116,16ème Ardt,PASSY (25) MAT
15,75115,15ème Ardt,BALARD (95) MAT
17,75117,17ème Ardt,JOUFFROY (20) MAT
10,75110,10ème Ardt,HOPITAL ST LOUIS (18) MAT
20,75120,20ème Ardt,PELLEPORT (166) POLY
8,75108,8ème Ardt,MOSCOU (7) MAT
18,75118,18ème Ardt,TCHAIKOVSKI (7) MAT
18,75118,18ème Ardt,CLOYS (41) MAT
