id_espace_vert,nom_espace_vert,type_espace_vert,code_postal,arr_num,surface_m2
13161,JARDINIERES EVQ DE LA RUE CRESPIN DU GAST,Décorations sur la voie publique,75011,11.0,220.0
13077,JARDINIERES DU SQUARE DE LA SALAMANDRE,Décorations sur la voie publique,75020,20.0,731.0
11769,PROMENADE PC 12 - DAUMESNIL - SAHEL,Promenades ouvertes,75012,12.0,11886.0
237,SQUARE GUSTAVE MESUREUR,Promenades ouvertes,75013,13.0,3200.0
13147,JARDINS DES CHAMPS ELYSEES- SQUARE DE BERLIN- WILLY BRANDT,Promenades ouvertes,75008,8.0,1096.0
103,JARDIN  DE KYIV,Promenades ouvertes,75008,8.0,6489.0
13099,JARDINIERES RAE 69 RUE CHAMPIONNET,Décorations sur la voie publique,75018,18.0,357.0
888,JARDINET DE LA RUE DE L'AMIRAL MOUCHEZ,Jardinets décoratifs,75014,14.0,177.0
12128,JARDINIERE VERTICALE DU SQUARE SUZANNE BUISSON,Murs végétalisés,75018,18.0,30.0
177,PARC DE BERCY,Promenades ouvertes,75012,12.0,80447.0
11358,JARDINIERE VERTICALE DU 58 RUE DE CHARONNE,Murs végétalisés,75011,11.0,6.0
11110,JARDINIERES DE LA RUE ADOLPHE MILLE,Décorations sur la voie publique,75019,19.0,650.0
10709,JARDINIERE DE LA PLACE JEAN-BAPTISTE CLEMENT,Décorations sur la voie publique,75018,18.0,458.0
11499,JARDIN HANS ET SOPHIE SCHOLL,Promenades ouvertes,75017,17.0,10355.0
11269,PELOUSE PLACE DU GENERAL CATROUX-OUEST (ALEXANDRE DUMAS PERE),Jardinets décoratifs,75017,17.0,475.0
13225,JARDINIERES QUAI DE  LA RAPPE ANGLE BOULEVARD BASTILLE,Décorations sur la voie publique,75012,12.0,525.0
10370,JARDINIERE ANGLE DES RUES KUSS - BRILLAT-SAVARIN,Décorations sur la voie publique,75013,13.0,206.0
11347,JARDINIERE DE LA RUE LOUISE HERVIEU,Décorations sur la voie publique,75012,12.0,77.0
11985,JARDIN ARNAUD BELTRAME,Promenades ouvertes,75003,3.0,2100.0
13199,JARDINIERES RAE PHILIPPE DE GIRARD,Décorations sur la voie publique,75018,18.0,160.0
12924,JARDINIERES DE LA PLACE FRANCOISE DORIN,Décorations sur la voie publique,75017,17.0,80.0
10972,JARDINIERE DE LA RUE DU PREVOT,Décorations sur la voie publique,75004,4.0,3.0
13372,JARDINIERES EVQ DE LA RUE AMBROISE PARE,Décorations sur la voie publique,75010,10.0,51.0
13412,JARDINIERES VELORUE DU CANAL SAINT MARTIN,Décorations sur la voie publique,75010,10.0,
11133,JARDINIERE VERTICALE DU 20 RUE DES VINAIGRIERS,Murs végétalisés,75010,10.0,5.0
12184,JARDINIERE ANGLE DES RUES LOUISE WEISS CHEVALERET,Décorations sur la voie publique,75013,13.0,
10261,JARDINIERES DE LA RUE ROLLIN,Décorations sur la voie publique,75005,5.0,8.0
13344,JARDINIERES DE LA RUE DE NICE,Décorations sur la voie publique,75011,11.0,83.0
11685,PARC DES RIVES DE SEINE,Promenades ouvertes,75004,4.0,4769.0
13499,JARDINIERES  EVQ RUE DELAMBRE,Décorations sur la voie publique,75014,14.0,100.0
13458,JARDINIERES DE LA RUE LEBOUIS,Décorations sur la voie publique,75014,14.0,
13463,JARDINIERE RAE DE LA RUE DECAMPS,Décorations sur la voie publique,75016,16.0,
13496,JARDINIERES RAE DE LA RUE DE NAPLES,Décorations sur la voie publique,75008,8.0,107.0
12180,JARDINIERE DE LA RUE DE LAGNY,Décorations sur la voie publique,75020,20.0,200.0
11699,JARDINIERE VERTICALE DU 25 RUE DU CHATEAU LANDON,Murs végétalisés,75010,10.0,1.0
865,SQUARE JEAN MORIN,Promenades ouvertes,75012,12.0,2479.0
11566,JARDINIERE VERTICALE DU 53 RUE DES RONDEAUX,Murs végétalisés,75020,20.0,202.0
828,PLATE BANDE DE LA RUE DES BERNARDINS,Jardinets décoratifs,75005,5.0,118.0
853,JARDINET DE LA RUE CAIL,Jardinets décoratifs,75010,10.0,25.0
917,JARDINET DU PASSAGE DES ABBESSES,Promenades ouvertes,75018,18.0,461.0
10695,JARDINET DU MONUMENT AUX MORTS DE LA MAIRIE DU 15EME,Décorations sur la voie publique,75015,15.0,177.0
882,JARDINETS DE L'ESPACE PUBLIC T1,Décorations sur la voie publique,75013,13.0,1461.0
832,PLATE BANDE DE LA RUE COGNACQ-JAY,Décorations sur la voie publique,75007,7.0,852.0
10035,ECOLE D'HORTICULTURE DU BREUIL ARBORETUM,Promenades ouvertes,75012,12.0,127620.0
10878,JARDINIERES DE LA RUE DU MONT CENIS,Décorations sur la voie publique,75018,18.0,8.0
655,JARDIN LUC HOFFMANN,Promenades ouvertes,75019,19.0,6638.0
319,03-08,Périphérique,75014,14.0,924.0
10726,JARDINET DE LA PLACE DU DOCTEUR YERSIN,Décorations sur la voie publique,75013,13.0,950.0
769,JARDIN DU 60 RUE DE LA JUSTICE,Promenades ouvertes,75020,20.0,416.0
10697,MAIL DE LA RUE MODIGLIANI,Décorations sur la voie publique,75015,15.0,5038.0
11264,SQUARE DU QUAI DE LA SEINE,Promenades ouvertes,75019,19.0,250.0
558,JARDINET DE L'EGLISE NOTRE DAME DE CLIGNANCOURT,Jardinets décoratifs,75018,18.0,754.0
209,35-08,Périphérique,75012,12.0,132.0
10980,JARDINIERES DE L'AVENUE D'ITALIE - MOULIN DE LA POINTE,Décorations sur la voie publique,75013,13.0,40.0
11623,04-04,Périphérique,75014,14.0,212.0
324,06-00,Périphérique,75014,14.0,1248.0
11658,13-00,Périphérique,75016,16.0,2333.0
99,PROMENADE DU COURS ALBERT 1ER,Promenades ouvertes,75008,8.0,4949.0
39,SQUARE ANDRE LEFEVRE,Promenades ouvertes,75005,5.0,758.0
11746,JARDINIERES DE LA PLACE DE LA PORTE DE BAGNOLET,Décorations sur la voie publique,75020,20.0,178.0
110,SQUARE D'ESTIENNE D'ORVES,Promenades ouvertes,75009,9.0,3164.0
224,SQUARE ROBERT BAJAC,Promenades ouvertes,75013,13.0,3700.0
892,JARDINET RUE DE GERGOVIE,Jardinets décoratifs,75014,14.0,25.0
11242,JARDINIERES DE LA RUE ALBERT EINSTEIN,Décorations sur la voie publique,75013,13.0,85.0
11211,JARDINIERE VERTICALE DU 12 PASSAGE DES RECOLLETS,Murs végétalisés,75010,10.0,6.0
10382,JARDINIERE DU BOULEVARD AUGUSTE BLANQUI,Décorations sur la voie publique,75013,13.0,19.0
10870,JARDINIERE DE LA RUE ANDRE GILL,Décorations sur la voie publique,75018,18.0,20.0
10711,PLATE-BANDE DU SEPARATEUR DE L'AVENUE DAUSMESNIL,Décorations sur la voie publique,75012,12.0,105.0
10417,JARDINIERE DU SQUARE ALICE,Décorations sur la voie publique,75014,14.0,25.0
11088,ESPACE VERT DU TEP JESSE OWENS,Etablissements sportifs,75018,18.0,2927.0
374,PROMENADE D'AUSTRALIE 15E,Promenades ouvertes,75015,15.0,8147.0
814,31-06,Périphérique,75020,20.0,316.0
644,23-13,Périphérique,75018,18.0,1062.0
11520,JARDIN PARTAGE 6-8 RUE DE L'OURCQ,"Ephémères, partagés, pédagogiques",75019,19.0,198.0
10274,JARDINIERES DE LA RUE DE L'UNIVERSITE,Décorations sur la voie publique,75007,7.0,18.0
13179,JARDINIERES EVQ DE LA RUE LABAT,Décorations sur la voie publique,75018,18.0,63.0
325,06-02,Périphérique,75014,14.0,879.0
339,SQUARE DU DOCTEUR CALMETTE,Promenades ouvertes,75015,15.0,11760.0
550,SQUARE RAYMOND QUENEAU,Promenades ouvertes,75018,18.0,1645.0
898,JARDIN DES SERRES D'AUTEUIL,Promenades ouvertes,75016,16.0,52100.0
10379,JARDINIERES DE L'AVENUE BOUTROUX,Décorations sur la voie publique,75013,13.0,88.0
