annee,arrondissement,code_postal,ville,nb_plai,nb_plus,nb_pls
2001,15,75015,Paris,10,10,0
2001,14,75014,Paris,0,96,96
2001,19,75019,Paris,0,1,0
2002,13,75013,Paris,0,34,0
2002,18,75018,Paris,0,56,0
2003,13,75013,Paris,0,0,9
2003,5,75005,Paris,0,6,0
2003,17,75017,Paris,0,0,43
2003,1,75001,Paris,0,21,0
2003,19,75019,Paris,0,22,47
2004,12,75012,Paris,0,11,0
2004,11,75011,Paris,0,14,0
2004,20,75020,Paris,0,55,50
2004,9,75009,Paris,2,8,0
2004,18,75018,Paris,0,3,0
2004,10,75010,Paris,9,15,9
2004,13,75013,Paris,4,0,0
2005,19,75019,Paris,0,0,35
2005,1,75001,Paris,6,7,0
2005,12,75012,Paris,1,0,0
2005,15,75015,Paris,6,0,0
2005,17,75017,Paris,1,0,0
2005,20,75020,Paris,0,18,0
2006,11,75011,Paris,0,12,0
2006,18,75018,Paris,0,19,0
2006,15,75015,Paris,33,66,28
2007,19,75019,Paris,0,3,0
2007,11,75011,Paris,7,0,0
2007,18,75018,Paris,0,0,3
2007,18,75018,Paris,0,4,0
2007,15,75015,Paris,30,0,0
2007,9,75009,Paris,34,0,0
2007,5,75005,Paris,8,24,0
2007,10,75010,Paris,20,0,0
2007,18,75018,Paris,0,11,0
2007,18,75018,Paris,4,0,0
2007,18,75018,Paris,0,1,0
2007,15,75015,Paris,0,1,0
2008,10,75010,Paris,33,0,0
2008,11,75011,Paris,0,0,4
2008,12,75012,Paris,22,0,0
2008,12,75012,Paris,5,12,8
2008,19,75019,Paris,27,0,0
2008,12,75012,Paris,1,0,0
2008,2,75002,Paris,0,2,0
2008,4,75004,Paris,0,12,0
2008,18,75018,Paris,3,16,16
2008,11,75011,Paris,20,0,0
2009,13,75013,Paris,25,0,0
2009,20,75020,Paris,3,19,3
2009,12,75012,Paris,0,4,0
2009,19,75019,Paris,40,0,0
2009,19,75019,Paris,0,0,30
2009,15,75015,Paris,0,1,0
2009,12,75012,Paris,9,19,9
2009,11,75011,Paris,4,14,2
2009,17,75017,Paris,3,0,0
2009,18,75018,Paris,0,1,0
2009,13,75013,Paris,0,1,0
2009,13,75013,Paris,0,1,0
2010,18,75018,Paris,0,5,0
2010,11,75011,Paris,1,16,4
2010,19,75019,Paris,0,0,17
2010,12,75012,Paris,1,25,10
2010,14,75014,Paris,18,38,18
2010,18,75018,Paris,1,3,1
2010,20,75020,Paris,0,4,0
2010,19,75019,Paris,0,43,0
2010,2,75002,Paris,1,3,0
2010,20,75020,Paris,0,16,17
2010,13,75013,Paris,0,1,0
2010,20,75020,Paris,0,10,5
2011,19,75019,Paris,151,0,0
2011,13,75013,Paris,0,2,0
2011,13,75013,Paris,0,0,36
2011,14,75014,Paris,3,7,0
2011,9,75009,Paris,0,0,20
2011,16,75016,Paris,0,0,30
2011,13,75013,Paris,14,56,70
2011,11,75011,Paris,0,79,0
2011,17,75017,Paris,3,10,6
2012,11,75011,Paris,77,0,0
2012,12,75012,Paris,92,0,0
2012,12,75012,Paris,0,1,0
2012,18,75018,Paris,2,6,0
2012,13,75013,Paris,0,0,163
2012,19,75019,Paris,29,69,98
2012,15,75015,Paris,36,75,37
2012,5,75005,Paris,1,0,0
2012,20,75020,Paris,6,37,25
2012,19,75019,Paris,0,0,35
2012,16,75016,Paris,0,1,0
2012,13,75013,Paris,0,0,16
2012,13,75013,Paris,0,0,1
2012,10,75010,Paris,0,0,5
2013,17,75017,Paris,39,0,0
2013,15,75015,Paris,0,8,0
2013,20,75020,Paris,0,2,0
2013,7,75007,Paris,0,0,1
2013,5,75005,Paris,0,0,16
2013,13,75013,Paris,0,0,35
2013,9,75009,Paris,0,1,0
2013,19,75019,Paris,51,22,0
2013,9,75009,Paris,0,1,0
2013,16,75016,Paris,0,1,0
2013,19,75019,Paris,0,2,0
2013,4,75004,Paris,0,28,27
2013,14,75014,Paris,16,21,16
2013,16,75016,Paris,17,22,16
2013,10,75010,Paris,0,63,32
2013,18,75018,Paris,0,0,9
2014,12,75012,Paris,0,0,63
2014,18,75018,Paris,20,0,0
2014,5,75005,Paris,6,10,7
2014,18,75018,Paris,3,7,4
2014,18,75018,Paris,12,16,12
2014,12,75012,Paris,0,0,67
2014,5,75005,Paris,1,8,0
2014,18,75018,Paris,0,8,8
2014,18,75018,Paris,60,0,0
2014,20,75020,Paris,0,0,253
2014,18,75018,Paris,2,0,0
2015,20,75020,Paris,14,0,0
2015,5,75005,Paris,6,4,0
2015,17,75017,Paris,0,1,0
2015,20,75020,Paris,0,5,0
2016,14,75014,Paris,0,0,257
2016,13,75013,Paris,0,0,47
2016,12,75012,Paris,8,6,0
2016,14,75014,Paris,0,0,71
2016,19,75019,Paris,0,10,32
2016,18,75018,Paris,2,3,0
2017,9,75009,Paris,8,9,0
2017,13,75013,Paris,2,0,0
2017,17,75017,Paris,9,9,0
2017,12,75012,Paris,19,16,13
2017,18,75018,Paris,5,8,5
2017,9,75009,Paris,8,12,8
2017,11,75011,Paris,2,5,2
2017,10,75010,Paris,3,4,4
2017,20,75020,Paris,10,13,11
2017,15,75015,Paris,5,13,5
2018,9,75009,Paris,0,4,0
2018,12,75012,Paris,0,1,0
2018,18,75018,Paris,0,1,0
2018,15,75015,Paris,103,102,51
2018,13,75013,Paris,0,0,8
2018,12,75012,Paris,18,24,18
2019,18,75018,Paris,7,5,0
2019,13,75013,Paris,0,81,0
2019,10,75010,Paris,17,12,0
2019,15,75015,Paris,1,0,0
2019,6,75006,Paris,0,0,19
2020,16,75016,Paris,1,0,0
2020,17,75017,Paris,1,0,0
2020,10,75010,Paris,1,0,1
2020,20,75020,Paris,6,8,6
2020,10,75010,Paris,18,12,0
2020,4,75004,Paris,11,0,71
2020,11,75011,Paris,0,0,27
2021,13,75013,Paris,0,0,1
2021,13,75013,Paris,0,0,1
2021,15,75015,Paris,0,0,1
2021,18,75018,Paris,0,0,11
2021,12,75012,Paris,7,5,5
2021,17,75017,Paris,1,0,0
