annee,arr_num,surface_mediane,surface_mean
2020,1,55.0,69.22
2020,3,52.0,57.14
2020,8,70.0,97.41
2020,13,38.0,46.02
2020,14,40.0,46.51
2020,15,45.0,50.77
2020,16,66.0,82.39
2020,17,43.0,54.07
2020,18,36.0,41.59
2020,19,40.0,39.82
2020,20,46.0,47.51
2021,1,40.0,54.87
2021,2,34.0,43.59
2021,3,42.0,50.98
2021,4,45.0,57.6
2021,5,41.0,52.02
2021,6,52.0,63.72
2021,7,65.0,86.39
2021,8,70.0,85.9
2021,9,46.0,55.77
2021,10,40.0,46.39
2021,11,36.0,42.94
2021,12,41.0,48.06
2021,13,39.0,45.2
2021,14,41.5,49.13
2021,15,44.0,50.52
2021,16,72.0,87.47
2021,17,44.0,55.71
2021,18,36.0,41.35
2021,19,42.0,46.52
2021,20,40.0,46.03
2022,1,42.0,60.67
2022,2,37.0,46.67
2022,3,41.0,52.7
2022,4,43.0,55.25
2022,5,39.0,49.1
2022,6,48.0,63.23
2022,7,62.0,82.72
2022,8,63.0,82.65
2022,9,45.0,54.78
2022,10,37.0,45.83
2022,11,36.0,43.95
2022,12,45.0,50.13
2022,13,39.0,45.4
2022,14,42.0,49.08
2022,15,45.0,50.84
2022,16,70.0,85.71
2022,17,45.0,59.79
2022,18,38.0,43.26
2022,19,42.0,46.96
2022,20,40.0,45.94
2023,1,46.0,58.2
2023,2,36.0,46.0
2023,3,40.0,50.7
2023,4,40.0,53.13
2023,5,36.0,47.61
2023,6,48.0,62.77
2023,7,59.0,79.85
2023,8,66.5,85.11
2023,9,45.0,53.98
2023,10,38.0,45.74
2023,11,36.0,44.0
2023,12,40.0,47.11
2023,13,42.0,47.21
2023,14,40.0,45.78
2023,15,44.0,50.31
2023,16,69.0,86.99
2023,17,43.0,55.74
2023,18,34.0,39.88
2023,19,41.0,45.0
2023,20,38.0,44.07
2024,1,44.0,56.53
2024,2,35.0,44.82
2024,3,39.0,48.66
2024,4,38.0,53.5
2024,5,37.0,49.14
2024,6,55.0,66.45
2024,7,59.0,73.92
2024,8,65.0,84.38
2024,9,43.0,53.19
2024,10,36.0,45.08
2024,11,38.0,44.4
2024,12,44.0,51.11
2024,13,37.0,44.33
2024,14,39.0,45.77
2024,15,43.0,49.87
2024,16,70.0,85.53
2024,17,42.0,54.23
2024,18,35.0,40.16
2024,19,42.0,45.48
2024,20,40.0,45.34
2025,1,40.0,56.75
2025,2,33.0,43.04
2025,3,40.0,51.44
2025,4,40.0,52.61
2025,5,31.0,41.36
2025,6,51.0,60.24
2025,7,79.0,91.24
2025,8,60.0,79.94
2025,9,41.5,52.32
2025,10,34.5,44.36
2025,11,36.0,41.9
2025,12,47.0,51.16
2025,13,35.0,42.65
2025,14,41.0,45.37
2025,15,40.0,46.41
2025,16,69.0,83.57
2025,17,44.0,55.22
2025,18,35.0,41.53
2025,19,38.5,44.43
2025,20,38.0,44.74
