annee,arr_num,nb_transactions,surface_bati_totale
2020,1,18,1246.0
2020,3,43,2457.0
2020,8,39,3799.0
2020,13,478,21999.0
2020,14,915,42555.0
2020,15,2712,137688.0
2020,16,4205,346456.0
2020,17,4575,247374.0
2020,18,3626,150808.0
2020,19,173,6888.0
2020,20,105,4989.0
2021,1,1011,55469.0
2021,2,1421,61939.0
2021,3,2123,108229.0
2021,4,1334,76842.0
2021,5,2000,104033.0
2021,6,1757,111949.0
2021,7,2206,190577.0
2021,8,2229,191463.0
2021,9,3686,205575.0
2021,10,4984,231203.0
2021,11,7188,308672.0
2021,12,4695,225657.0
2021,13,4421,199817.0
2021,14,5122,251626.0
2021,15,9305,470133.0
2021,16,7347,642607.0
2021,17,8348,465070.0
2021,18,9452,390858.0
2021,19,5272,245269.0
2021,20,5681,261499.0
2022,1,662,40162.0
2022,2,764,35656.0
2022,3,1282,67556.0
2022,4,918,50718.0
2022,5,2337,114739.0
2022,6,2239,141577.0
2022,7,2649,219135.0
2022,8,1427,117938.0
2022,9,2188,119865.0
2022,10,2920,133823.0
2022,11,6917,304025.0
2022,12,4552,228203.0
2022,13,3621,164385.0
2022,14,4567,224143.0
2022,15,8478,431002.0
2022,16,6719,575915.0
2022,17,4748,283880.0
2022,18,6101,263928.0
2022,19,2879,135188.0
2022,20,3553,163228.0
2023,1,785,45686.0
2023,2,945,43470.0
2023,3,1648,83548.0
2023,4,1255,66675.0
2023,5,3793,180580.0
2023,6,3613,226783.0
2023,7,4057,323936.0
2023,8,1376,117109.0
2023,9,2219,119775.0
2023,10,3508,160470.0
2023,11,9839,432919.0
2023,12,7282,343073.0
2023,13,7143,337206.0
2023,14,7011,320948.0
2023,15,12109,609257.0
2023,16,9996,869515.0
2023,17,5400,301001.0
2023,18,6993,278897.0
2023,19,3791,170585.0
2023,20,3923,172887.0
2024,1,425,24026.0
2024,2,671,30073.0
2024,3,1092,53140.0
2024,4,959,51302.0
2024,5,1213,59607.0
2024,6,1182,78539.0
2024,7,1370,101276.0
2024,8,1146,96696.0
2024,9,1516,80643.0
2024,10,1955,88138.0
2024,11,3463,153742.0
2024,12,2435,124461.0
2024,13,2168,96101.0
2024,14,2054,94007.0
2024,15,4028,200878.0
2024,16,3334,285149.0
2024,17,3314,179715.0
2024,18,3668,147293.0
2024,19,2207,100369.0
2024,20,2640,119697.0
2025,1,109,6186.0
2025,2,187,8049.0
2025,3,241,12397.0
2025,4,211,11100.0
2025,5,288,11911.0
2025,6,249,15000.0
2025,7,384,35035.0
2025,8,260,20784.0
2025,9,420,21974.0
2025,10,462,20494.0
2025,11,510,21371.0
2025,12,576,29470.0
2025,13,523,22306.0
2025,14,486,22051.0
2025,15,745,34572.0
2025,16,659,55074.0
2025,17,788,43513.0
2025,18,957,39743.0
2025,19,438,19460.0
2025,20,600,26841.0
